Word	Truth
Appreciation	Common
Art	Proper
Insights	Common
Eye	Common
Tracking	Common
Claire	Proper
Bailey	Proper
Ross	Proper
claire.bailey-ross@port.ac.uk	Proper
University	Proper
Portsmouth	Proper
Kingdom	Proper
Andrew	Proper
Beresford	Proper
a.m.beresford@durham.ac.uk	Proper
Durham	Proper
Daniel	Proper
Smith	Proper
daniel.smith2@durham.ac.uk	Proper
Warwick	Proper
c.l.h.warwick@durham.ac.uk	Proper
people	Common
art	Common
elements	Common
artworks	Common
museum	Common
labels	Common
impact	Common
viewing	Common
experience	Common
one	Common
issues	Common
perception	Common
attention	Common
memory	Common
decision	Common
affect	Common
emotion	Common
time	Common
ways	Common
artwork	Common
relevance	Common
interestingness	Common
appeal	Common
paper	Common
pilot	Common
project	Common
collection	Common
Century	Common
Zurbarán	Proper
paintings	Common
Jacob	Proper
cycle	Common
Auckland	Proper
Castle	Proper
UK	Proper
example	Common
purpose	Common
surroundings	Common
studies	Common
psychology	Common
works	Common
distinctions	Common
topics	Common
work	Common
appreciation	Common
collections	Common
themes	Common
insights	Common
eye	Common
tracking	Common
techniques	Common
processes	Common
study	Common
effects	Common
interpretation	Common
exploration	Common
implications	Common
understanding	Common
behaviours	Common
gallery	Common
practice	Common
research	Common
strengths	Common
history	Common
humanities	Common
reactions	Common
representations	Common
significance	Common
whole	Common
interaction	Common
beginning	Common
scan	Common
viewer	Common
information	Common
series	Common
fixations	Common
movements	Common
saccades	Common
direction	Common
goals	Common
observer	Common
properties	Common
scene	Common
colour	Common
texture	Common
brightness	Common
etc	Common
insight	Common
participants	Common
beliefs	Common
memories	Common
impressions	Common
potential	Common
processing	Common
arts	Common
Brieber	Proper
Binderman	Proper
way	Common
factors	Common
visit	Common
Filippini	Proper
Fantoni	Proper
Heidenreich	Proper
Turano	Proper
Milekic	Proper
Sons	Common
display	Common
Long	Proper
Room	Common
years	Common
kind	Common
world	Common
scholarship	Common
Baron	Proper
aspects	Common
production	Common
stage	Common
audience	Common
County	Proper
Benjamin	Proper
copy	Common
Arthur	Proper
Pond	Proper
part	Common
audiences	Common
culture	Common
label	Common
characteristics	Common
visitor	Common
behaviour	Common
Introduction	Common
tenure	Common
track	Common
university	Common
faculty	Common
role	Common
speed	Common
progress	Common
training	Common
researchers	Common
